,pcsp,unif_posterior,unif_lb,unif_ub,unif_samples,exp_posterior,exp_lb,exp_ub,exp_samples,gp,dataset
0,00000000000000000000000000000000000000000000000000000000001|11111111111111111111111111111111111111111111111111111111110|00000000000000011111111111111111111111111111111111111111110,0.105698,0.105698,0.105698,1.0,,,,,0.20763,ds7.bench.estimation
1,00000000000000000000000000000000000000000000000000000000001|11111111111111111111111111111111111111111111111111111111110|00000000000000000000000000000000000000000000000000000000010,0.09785422322888888,0.0860207975,0.110476,900000.0,0.09715938779769379,0.0853852025,0.10971097499999997,900002.0,0.194965,ds7.bench.estimation
2,00000000000000000000000000000000000000000000000000000000010|00000000000000011111111111111111111111111111111111111111100|00000000000000000000000000000000000000000000000000000001100,0.02929596,0.02929596,0.02929596,1.0,,,,,0.0228372,ds7.bench.estimation
3,00000000000000000000000000000000000000000000000000000000010|11111111111111111111111111111111111111111111111111111111100|00000000000000000000000000000000000000000000000000000001100,0.04998893,0.04998893,0.04998893,1.0,,,,,0.0443878,ds7.bench.estimation
4,00000000000000000000000000000000000000000000000000000000010|11111111111111111111111111111111111111111111111111111111100|00000000000000011111111111111111111111111111111111111111100,0.03918144462846774,0.02661043175,0.053242466749999995,798504.0,0.03895803556478158,0.0264813375,0.052928615,799911.0,0.0405367,ds7.bench.estimation
5,00000000000000000000000000000000000000000000000000000000010|11111111111111111111111111111111111111111111111111111111100|00000000000000011111111111111111111111111111111111111110000,0.04152747461214838,0.028909232,0.0555799425,101495.0,0.04133562206234389,0.02880750975,0.055374140249999995,100090.0,0.0401625,ds7.bench.estimation
6,00000000000000000000000000000000000000000000000000000001100|00000000000000011111111111111111111111111111111111111110000|00000000000000000000000000000000000000000000000000000100000,0.0417712,0.0417712,0.0417712,1.0,0.0420666,0.0420666,0.0420666,1.0,0.0458111,ds7.bench.estimation
7,00000000000000000000000000000000000000000000000000000001100|00000000000000011111111111111111111111111111111111111110000|00000000000000000000000000000000000000000000000000000110000,0.046227555181416274,0.033305550499999996,0.06051973499999999,38227.0,0.04596524099398545,0.03308695025,0.06008104999999998,37908.0,0.0451319,ds7.bench.estimation
8,00000000000000000000000000000000000000000000000000000001100|00000000000000011111111111111111111111111111111111111110000|00000000000000000000000000111111111111111111111111111010000,0.0480776635897436,0.0403109825,0.06263137149999998,39.0,0.04846230818181819,0.0362512475,0.06566853949999998,44.0,0.0465959,ds7.bench.estimation
9,00000000000000000000000000000000000000000000000000000001100|00000000000000011111111111111111111111111111111111111110000|00000000000000000000000000111111111111111111111111111000000,0.049079006923076915,0.040033776,0.061127101999999996,13.0,0.04607164285714286,0.0401239255,0.052608562500000004,7.0,0.0468527,ds7.bench.estimation
