,pcsp,unif_posterior,unif_lb,unif_ub,unif_samples,exp_posterior,exp_lb,exp_ub,exp_samples,gp,dataset
0,000000000000000000000000001|111111111111111111111111110|000000000011111111111111110,0.011373849805800432,0.008009500249999999,0.015300597499999997,900002.0,0.011310935133399709,0.00796056,0.0152143,900002.0,0.00157771,ds1.bench.estimation
1,000000000000000000000000010|000000000011111111111111100|000000000000000000001100100,0.01290081,0.01290081,0.01290081,1.0,,,,,0.0146142,ds1.bench.estimation
2,000000000000000000000000010|000000000011111111111111100|000000000001000000000011100,0.013870450000000001,0.011499401250000001,0.0152475975,6.0,,,,,0.0128743,ds1.bench.estimation
3,000000000000000000000000010|000000000011111111111111100|000000000001111111111100000,0.013396435543209876,0.007997488,0.01909895,81.0,,,,,0.0118903,ds1.bench.estimation
4,000000000000000000000000010|000000000011111111111111100|000000000000111111111100000,0.012246980660325462,0.0071104719,0.018620256499999998,665699.0,,,,,0.0117886,ds1.bench.estimation
5,000000000000000000000000010|000000000011111111111111100|000000000001111111111110100,0.017387045,0.015737137249999998,0.019036952750000002,2.0,,,,,0.0121953,ds1.bench.estimation
6,000000000000000000000000010|000000000011111111111111100|000000000000111111111111100,0.012423447128360411,0.006995812725000001,0.019092449249999997,203100.0,0.012351945742730758,0.006957376125,0.0189903645,198714.0,0.0117751,ds1.bench.estimation
7,000000000000000000000000010|000000000011111111111111100|000000000001000000000000000,0.013211054303001877,0.00786311425,0.019646332500000002,1066.0,0.013286459474246842,0.007862443200000001,0.020322444,1029.0,0.0125728,ds1.bench.estimation
8,000000000000000000000000010|000000000011111111111111100|000000000000111111111111000,0.011270326315789475,0.00688636995,0.0169018095,19.0,,,,,0.0127636,ds1.bench.estimation
9,000000000000000000000000010|000000000011111111111111100|000000000000111111111100100,0.014108606562499999,0.00873500525,0.020759275,336.0,,,,,0.0130558,ds1.bench.estimation
10,000000000000000000000000010|000000000011111111111111100|000000000000000000000000100,0.013669516967225055,0.0077507942,0.021047136,1373.0,,,,,0.0117494,ds1.bench.estimation
11,000000000000000000000000010|000000000011111111111111100|000000000001111111111111100,0.012627582028846155,0.006827402225,0.019504615,104.0,0.013216445810000001,0.0079525717,0.020119658749999995,100.0,0.0124164,ds1.bench.estimation
12,000000000000000000000000010|000000000011111111111111100|000000000000111111111110000,0.011344428813953488,0.00585312475,0.018056205999999995,43.0,,,,,0.0111198,ds1.bench.estimation
13,000000000000000000000000010|000000000011111111111111100|000000000000000000000100000,0.012147303043478264,0.006360774475,0.018117508249999997,92.0,,,,,0.0128585,ds1.bench.estimation
14,000000000000000000000000010|000000000011111111111111100|000000000000000000000011100,0.011543993312177633,0.0062798814,0.018173214,27337.0,,,,,0.0111241,ds1.bench.estimation
15,000000000000000000000000010|000000000011111111111111100|000000000000111111111110100,0.011074683730929265,0.006112971,0.01756004,721.0,,,,,0.0108461,ds1.bench.estimation
16,000000000000000000000000010|000000000011111111111111100|000000000000000000000100100,0.014346547500000001,0.009488388575000001,0.0241304215,22.0,,,,,0.0133101,ds1.bench.estimation
17,000000000000000000000000100|000000000000000000000011000|000000000000000000000001000,0.006321639233158005,0.0020802875,0.0123842875,696611.0,0.005066477952306942,0.0017301632500000001,0.009761766375,767596.0,0.00525158,ds1.bench.estimation
18,000000000000000000000000100|000000000000000000001100000|000000000000000000000100000,0.006253851,0.006253851,0.006253851,1.0,,,,,0.00733007,ds1.bench.estimation
19,000000000000000000000000100|000000000000111100011100000|000000000000000000001100000,0.007752423,0.007752423,0.007752423,1.0,,,,,0.00594973,ds1.bench.estimation
20,000000000000000000000000100|000000000000111111111000000|000000000000000000001000000,0.005758178666666667,0.0017623908,0.009737128800000001,9.0,,,,,0.00331924,ds1.bench.estimation
21,000000000000000000000000100|000000000000111111111100000|000000000000000000010000000,0.005567972,0.005567972,0.005567972,1.0,,,,,0.00850888,ds1.bench.estimation
22,000000000000000000000000100|000000000000111111111100000|000000000000000011110000000,0.010312288111111111,0.0078234892,0.013833116,9.0,,,,,0.00897447,ds1.bench.estimation
23,000000000000000000000000100|000000000000111111111100000|000000000000000011100000000,0.010082206516666666,0.005145831425,0.0150271775,60.0,,,,,0.00785649,ds1.bench.estimation
24,000000000000000000000000100|000000000000111111111100000|000000000000000000000100000,0.007764418405850822,0.00294671975,0.01401691875,13246.0,,,,,0.00520998,ds1.bench.estimation
25,000000000000000000000000100|000000000000111111111100000|000000000000000000001100000,0.007742639908608824,0.002879367,0.014008750000000002,22233.0,,,,,0.00565923,ds1.bench.estimation
26,000000000000000000000000100|000000000000111111111100000|000000000000000000001000000,0.008340198841611333,0.003426118,0.01445455,9036.0,,,,,0.00611481,ds1.bench.estimation
27,000000000000000000000000100|000000000000111111111110000|000000000000000000000100000,0.006823243333333334,0.0044537388,0.011044064,9.0,,,,,0.00641151,ds1.bench.estimation
28,000000000000000000000000100|000000000000111111111110000|000000000000000000001110000,0.0080518378,0.0025106494000000004,0.012711796000000001,5.0,,,,,0.00857537,ds1.bench.estimation
29,000000000000000000000000100|000000000000111111111110000|000000000000000000001100000,0.008120092,0.008120092,0.008120092,1.0,,,,,0.00758144,ds1.bench.estimation
30,000000000000000000000000100|000000000000111111111110000|000000000000000000001010000,0.0081594935,0.007250955775000001,0.009068031225,2.0,,,,,0.00786919,ds1.bench.estimation
31,000000000000000000000000100|000000000000111111111110000|000000000000000000001000000,0.008255123999999999,0.00447053225,0.01090407075,6.0,,,,,0.0079471,ds1.bench.estimation
32,000000000000000000000000100|000000000000111111111110000|000000000000000000000110000,0.006965081681690141,0.0026190659999999998,0.012051244999999999,71.0,,,,,0.00631382,ds1.bench.estimation
33,000000000000000000000000100|000000000000111111111110000|000000000000000000000010000,0.004355347573442623,0.000360724855,0.009921114949999995,427.0,,,,,0.00369134,ds1.bench.estimation
34,000000000000000000000000100|000000000000111111111111000|000000000000000000001111000,0.006360617964912282,0.0027391652,0.010896644249999999,114.0,,,,,0.00692646,ds1.bench.estimation
