,pcsp,unif_posterior,unif_lb,unif_ub,unif_samples,exp_posterior,exp_lb,exp_ub,exp_samples,gp,dataset
0,00000000000000000000000000000000000000000000000011|01111111111111111111111111111111111111111111111100|00000000000000000000000000000000000001000000000000,0.06158808,0.06158808,0.06158808,1.0,,,,,0.0774637,ds5.bench.estimation
1,00000000000000000000000000000000000000000000000011|01111111111111111111111111111111111111111111111100|00000000000000000000000000000000000000011111111000,0.07684152,0.07684152,0.07684152,1.0,0.07898135666666667,0.0658860525,0.090507995,6.0,0.0763653,ds5.bench.estimation
2,00000000000000000000000000000000000000000000000011|01111111111111111111111111111111111111111111111100|00000000000000000000000000000000000010011111111100,0.072354914,0.049393093000000006,0.094361057,15.0,,,,,0.0709997,ds5.bench.estimation
3,00000000000000000000000000000000000000000000000011|01111111111111111111111111111111111111111111111100|00000000000000000000000000000000000000011111111100,0.05994396928045254,0.031596804000000006,0.09495606300000002,830005.0,0.0581232508707341,0.030653814,0.09185626699999999,834087.0,0.0494463,ds5.bench.estimation
4,00000000000000000000000000000000000000000000000011|01111111111111111111111111111111111111111111111100|00000000000000000000000000000000000000000000000100,0.08127147030009596,0.05067347875,0.11822180499999999,68778.0,0.07880855024424865,0.0489555025,0.114480275,64811.0,0.0759027,ds5.bench.estimation
5,00000000000000000000000000000000000000000000000011|01111111111111111111111111111111111111111111111100|00000000000000000000000000000000000000011111110100,0.08561984111111112,0.06541801600000001,0.098728388,9.0,0.09077927,0.0673247865,0.1142337535,2.0,0.0893618,ds5.bench.estimation
6,00000000000000000000000000000000000000000000000011|01111111111111111111111111111111111111111111111100|00000000000000000000000000000000000011111111111100,0.07780444,0.057291451,0.098317429,2.0,0.06707347999999999,0.05484295025,0.08429396025,4.0,0.0794516,ds5.bench.estimation
7,00000000000000000000000000000000000000000000000011|01111111111111111111111111111111111111111111111100|00000000000000000000000000000000000000011111110000,0.08781408904761906,0.051690042,0.12893194,105.0,0.08544200061728395,0.05551609,0.1181918,81.0,0.0871627,ds5.bench.estimation
8,00000000000000000000000000000000000000000000000011|01111111111111111111111111111111111111111111111100|00000000000000000000000000000000000001100000000000,0.06766195271477662,0.03820292075,0.10281410500000002,582.0,,,,,0.0658036,ds5.bench.estimation
9,00000000000000000000000000000000000000000000000011|01111111111111111111111111111111111111111111111100|00000000000000000000000000000000000011100000000000,0.0727602306626506,0.04194164475,0.10634595499999998,332.0,0.06927107893617021,0.041265933750000004,0.10556982749999998,282.0,0.0737481,ds5.bench.estimation
