,Unnamed: 0,pcsp,unif_posterior,unif_lb,unif_ub,unif_samples,exp_posterior,exp_lb,exp_ub,exp_samples,gp,dataset,pcsp_nobar,vbpi_pcsp,vbpi,vbpi_pcsp_nobar,rootsplit,unif_posterior_root_adjusted,unif_lb_root_adjusted,unif_ub_root_adjusted,gp_root_adjusted,gp_coverage,vbpi_coverage
0,0.0,00000000000000000000000000000000000000000000000001|11111111111111111111111111111111111111111111111110|01000000000000000000000000000000000000000000000000,0.0126525375,0.0088483425,0.0167013725,8.0,0.0119638075,0.00872631275,0.0147228499999999,4.0,0.00623364,ds6,000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111001000000000000000000000000000000000000000000000000,10000000000000000000000000000000000000000000000000|01111111111111111111111111111111111111111111111111|00111111111111111111111111111111111111111111111111,0.0146863,100000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111100111111111111111111111111111111111111111111111111,True,0.0225276169783222,0.0145278725,0.031778875,0.023857339999999998,covered,covered
1,1.0,00000000000000000000000000000000000000000000000001|11111111111111111111111111111111111111111111111110|01111111111111111111111111111111111111111111111110,0.011951246875,0.00856671875,0.0167702349999999,32.0,0.0117080249999999,0.00657821725,0.0163768049999999,30.0,9.58739e-07,ds6,000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111001111111111111111111111111111111111111111111111110,,,,True,0.021826326353322198,0.014246248750000001,0.031847737499999904,0.017624658738999998,covered,under
2,2.0,00000000000000000000000000000000000000000000000001|11111111111111111111111111111111111111111111111110|00111111111111111111111111111111111111111111111110,0.0098749809661429,0.00567953,0.0150773,899960.0,0.0097841578413899,0.00561964175,0.014929,899968.0,9.58733e-07,ds6,000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111000111111111111111111111111111111111111111111111110,10000000000000000000000000000000000000000000000000|01111111111111111111111111111111111111111111111111|00011111111111111111111111111111111111111111111111,0.00982122,100000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111100011111111111111111111111111111111111111111111111,True,0.0197500604444651,0.01135906,0.0301548025,0.017624658733,covered,covered
3,3.0,00000000000000000000000000000000000000000000000110|00000000000000000000000000000000000000000000011000|00000000000000000000000000000000000000000000001000,0.0072479488255178,0.002698778425,0.0137821505,895500.0,0.0071786701735516,0.002676578675,0.0136277442499999,895422.0,0.00616723,ds6,000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000001000,00000000000001100000000000000000000000000000000000|00000000000000011000000000000000000000000000000000|00000000000000001000000000000000000000000000000000,0.00718551,000000000000011000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000001000000000000000000000000000000000,False,0.0072479488255178,0.002698778425,0.0137821505,0.00616723,covered,covered
4,4.0,00000000000000000000000000000000000000000000000110|00111111111111111111111111111111111000000000000000|00000011111111111111111111111111111000000000000000,0.011933385,0.01050904525,0.01335772475,2.0,0.01566812,0.01566812,0.01566812,1.0,0.00973862,ds6,000000000000000000000000000000000000000000000001100011111111111111111111111111111111100000000000000000000011111111111111111111111111111000000000000000,,,,False,0.011933385,0.01050904525,0.01335772475,0.00973862,under,under
5,5.0,00000000000000000000000000000000000000000000000110|00111111111111111111111111111111111111111111100000|00000011111111111111111111111111111111111111100000,0.02217949,0.02217949,0.02217949,1.0,,,,,0.0105366,ds6,000000000000000000000000000000000000000000000001100011111111111111111111111111111111111111111110000000000011111111111111111111111111111111111111100000,,,,False,0.02217949,0.02217949,0.02217949,0.0105366,under,under
6,6.0,00000000000000000000000000000000000000000000000110|00111111111111111111111111111111111111111111100000|00000000000000000000000000000000000111111111100000,0.0087001085728515,0.0031423284,0.0161925869999999,3293.0,0.0085914648443491,0.0033158978,0.01600936625,3380.0,0.00694717,ds6,000000000000000000000000000000000000000000000001100011111111111111111111111111111111111111111110000000000000000000000000000000000000000111111111100000,00000000000001100000000000000000000000000000000000|00011111111110000111111111111111111111111111111111|00000000000000000111111111111111111111111111111111,0.00989487,000000000000011000000000000000000000000000000000000001111111111000011111111111111111111111111111111100000000000000000111111111111111111111111111111111,False,0.0087001085728515,0.0031423284,0.0161925869999999,0.00694717,covered,covered
7,7.0,00000000000000000000000000000000000000000000000110|00111111111111111111111111111111111111111111100000|00000011111111111111111111111111111000000000000000,0.0105943254746192,0.0048100847,0.0186385942499999,788.0,0.0105709106178756,0.0051519727749999,0.01787084175,772.0,0.00962893,ds6,000000000000000000000000000000000000000000000001100011111111111111111111111111111111111111111110000000000011111111111111111111111111111000000000000000,00000000000001100000000000000000000000000000000000|00011111111110000111111111111111111111111111111111|00000000000000000000011111111111111111111111111111,0.0122047,000000000000011000000000000000000000000000000000000001111111111000011111111111111111111111111111111100000000000000000000011111111111111111111111111111,False,0.0105943254746192,0.0048100847,0.0186385942499999,0.00962893,covered,covered
8,8.0,00000000000000000000000000000000000000000000000110|00111111111111111111111111111111111111111111111000|00000000000000000000000000000000000000000000011000,0.0013425652051899,4.548394e-05,0.004927878875,416.0,0.0011220236592488,2.41775725e-05,0.00434193225,426.0,9.58716e-07,ds6,000000000000000000000000000000000000000000000001100011111111111111111111111111111111111111111111100000000000000000000000000000000000000000000000011000,00000000000001100000000000000000000000000000000000|00011111111110011111111111111111111111111111111111|00000000000000011000000000000000000000000000000000,0.00290399,000000000000011000000000000000000000000000000000000001111111111001111111111111111111111111111111111100000000000000011000000000000000000000000000000000,False,0.0013425652051899,4.548394e-05,0.004927878875,9.58716e-07,under,covered
9,9.0,00000000000000000000000000000000000000000000001000|00111111111111111111111111111111111111111111110110|00000000000000000000000000000000000000000000010000,0.002025985,0.002025985,0.002025985,1.0,0.002053807,0.002053807,0.002053807,1.0,0.00237434,ds6,000000000000000000000000000000000000000000000010000011111111111111111111111111111111111111111111011000000000000000000000000000000000000000000000010000,00000000000000010000000000000000000000000000000000|00011111111111101111111111111111111111111111111111|00000000000000001000000000000000000000000000000000,0.00269251,000000000000000100000000000000000000000000000000000001111111111110111111111111111111111111111111111100000000000000001000000000000000000000000000000000,False,0.002025985,0.002025985,0.002025985,0.00237434,over,over
