,pcsp,unif_posterior,unif_lb,unif_ub,unif_samples,exp_posterior,exp_lb,exp_ub,exp_samples,gp,dataset
0,0000000000000000000000000000000000000000000000000000000000000001|1111111111111111111111111111111111111111111111111111111111111110|0000000000000000000000000000000000000000000000000000000000011100,0.0038395933333333337,0.0019094775,0.0068873929999999995,12.0,0.003617015,0.001173381,0.00603316125,10.0,9.58586e-07,ds8.bench.estimation
1,0000000000000000000000000000000000000000000000000000000000000001|1111111111111111111111111111111111111111111111111111111111111110|0000000000000000000000000000000000000000000000000000000000011010,0.002364810936885246,0.000227871375,0.00553344075,122.0,0.0018988885240869566,2.9338645e-05,0.005135451999999995,115.0,9.58586e-07,ds8.bench.estimation
2,0000000000000000000000000000000000000000000000000000000000000001|1111111111111111111111111111111111111111111111111111111111111110|0000000000000000000000000000000000000000000000000000000000011110,0.0041750722222222226,0.0026223275,0.006283839,27.0,0.003754759047619048,0.00197604,0.006418115,21.0,9.58606e-07,ds8.bench.estimation
3,0000000000000000000000000000000000000000000000000000000000000001|1111111111111111111111111111111111111111111111111111111111111110|0000000000000000000000000000000000000000000000000000000000000110,0.004105016065989848,0.0019781325,0.007396220750000001,394.0,0.004200771891891892,0.001854287,0.007669168999999998,407.0,9.58594e-07,ds8.bench.estimation
4,0000000000000000000000000000000000000000000000000000000000000001|1111111111111111111111111111111111111111111111111111111111111110|0000000000000000000000000000000000000000000000000000000000011000,0.0018865875441314555,3.997076000000001e-05,0.005831864999999997,213.0,0.0018217848144796382,6.582715e-05,0.00512395,221.0,9.58593e-07,ds8.bench.estimation
5,0000000000000000000000000000000000000000000000000000000000000001|1111111111111111111111111111111111111111111111111111111111111110|0000000000000000000000000000000000000000000000000000000000000100,0.004123484875451264,0.0016364507499999998,0.007617204499999996,554.0,0.004098720749999999,0.0017678452500000002,0.007575347,520.0,9.58587e-07,ds8.bench.estimation
6,0000000000000000000000000000000000000000000000000000000000000001|1111111111111111111111111111111111111111111111111111111111111110|0000000000000000000000000000000000000000000000000000000000000010,0.001559143585833715,5.217743250000001e-05,0.004733832999999998,898678.0,0.0015415982181742754,5.1600715e-05,0.00467609,898708.0,9.58586e-07,ds8.bench.estimation
7,0000000000000000000000000000000000000000000000000000000000000010|0000000000000000000000000000000000000000000000000000000000011000|0000000000000000000000000000000000000000000000000000000000001000,0.016450109050724637,0.0071112988000000005,0.03390269325,138.0,0.016441808074074075,0.00786180755,0.02985792250000001,135.0,0.0126926,ds8.bench.estimation
8,0000000000000000000000000000000000000000000000000000000000000010|0000000000000000000000000000000000000000000000000000000000011100|0000000000000000000000000000000000000000000000000000000000000100,0.0012902961725,3.847011075e-05,0.0035720744999999995,12.0,0.00092225665,0.0002902550925,0.0016380086,8.0,9.5855e-07,ds8.bench.estimation
9,0000000000000000000000000000000000000000000000000000000000000010|1111111111111111111111111111111111111111111111111111111111100000|0000000000000000000000000000000000000000000000000000000011100000,0.005794321882352941,0.00208399105,0.010375048749999994,34.0,0.005919814664705883,0.00168897963,0.01129227624999999,34.0,0.00466434,ds8.bench.estimation
