,pcsp,unif_posterior,unif_lb,unif_ub,unif_samples,exp_posterior,exp_lb,exp_ub,exp_samples,gp,dataset
0,00000000000000000000000000000000000000000000000001|11111111111111111111111111111111111111111111111110|01111111111111111111111111111111111111111111111110,0.011881092285714285,0.0086803025,0.016659789999999997,35.0,0.01189024393939394,0.006623218,0.016754059999999998,33.0,9.58739e-07,ds6.bench.estimation
1,00000000000000000000000000000000000000000000000001|11111111111111111111111111111111111111111111111110|01000000000000000000000000000000000000000000000000,0.01256044,0.0088963975,0.0166663075,10.0,0.0119638075,0.00872631275,0.014722849999999999,4.0,0.00624303,ds6.bench.estimation
2,00000000000000000000000000000000000000000000000001|11111111111111111111111111111111111111111111111110|00111111111111111111111111111111111111111111111110,0.009873673530349215,0.00567821,0.015076115000000003,998955.0,0.009783780877948674,0.00561733,0.014926480000000006,998965.0,9.58732e-07,ds6.bench.estimation
3,00000000000000000000000000000000000000000000000110|00000000000000000000000000000000000000000000011000|00000000000000000000000000000000000000000000001000,0.007247167123265943,0.0026988579999999997,0.013777385,994011.0,0.007179142186048702,0.0026780700000000003,0.013627439000000002,993965.0,0.00617314,ds6.bench.estimation
4,00000000000000000000000000000000000000000000000110|00111100000000001111111111111111111111111111100000|00000000000000001111111111111111111111111111100000,0.011933385000000001,0.01050904525,0.013357724750000001,2.0,0.01566812,0.01566812,0.01566812,1.0,0.00962708,ds6.bench.estimation
5,00000000000000000000000000000000000000000000000110|00111111111111111111111111111111111111111111100000|00000011111111110000000000000000000000000000000000,0.008696545009190974,0.003168448075,0.016057579999999988,3634.0,0.008561060080639957,0.00331037185,0.015911997999999993,3719.0,0.00710421,ds6.bench.estimation
6,00000000000000000000000000000000000000000000000110|00111111111111111111111111111111111111111111100000|00000011111111111111111111111111111111111111100000,0.02217949,0.02217949,0.02217949,1.0,,,,,0.010655,ds6.bench.estimation
7,00000000000000000000000000000000000000000000000110|00111111111111111111111111111111111111111111100000|00000000000000001111111111111111111111111111100000,0.010670575532954545,0.004773537225,0.01991326,880.0,0.010578836618483413,0.005048744500000001,0.017901366999999998,844.0,0.00975952,ds6.bench.estimation
8,00000000000000000000000000000000000000000000000110|00111111111111111111111111111111111111111111111000|00000000000000000000000000000000000000000000011000,0.0013647247678792373,4.6048804e-05,0.0049097272749999985,472.0,0.001097408785487288,2.6970005500000003e-05,0.004177714274999993,472.0,9.58698e-07,ds6.bench.estimation
9,00000000000000000000000000000000000000000000001000|00111111111111111111111111111111111111111111110110|00000000000000000000000000000000000000000000010000,0.002025985,0.002025985,0.002025985,1.0,0.002053807,0.002053807,0.002053807,1.0,0.0023776,ds6.bench.estimation
10,00000000000000000000000000000000000000000000010000|00111111111111111111111111111111111111111111100110|00000000000000000000000000000000000000000000000110,0.00986802,0.00986802,0.00986802,1.0,0.007842653,0.007842653,0.007842653,1.0,0.00528967,ds6.bench.estimation
11,00000000000000000000000000000000000000000000011000|00000000000000000000000000000000000000000000000110|00000000000000000000000000000000000000000000000010,0.0059125418458115635,0.002047548,0.011666615,994011.0,0.005856884951737504,0.0020318858000000005,0.011571505000000001,993965.0,0.00487912,ds6.bench.estimation
12,00000000000000000000000000000000000000000000011000|00111100000000001111111111111111111111111111100110|00000000000000000000000000000000000000000000000110,0.0012753975,0.0012691602749999998,0.001281634725,2.0,0.002374616,0.002374616,0.002374616,1.0,9.6606e-07,ds6.bench.estimation
13,00000000000000000000000000000000000000000000011000|00111111111111111111111111111111111111111111100000|00000000000000001111111111111111111111111111100000,0.011132489088607596,0.0040941621499999995,0.019535917,79.0,0.0110157361010101,0.00511317005,0.0194038595,99.0,0.0102076,ds6.bench.estimation
14,00000000000000000000000000000000000000000000011000|00111111111111111111111111111111111111111111100000|00000011111111110000000000000000000000000000000000,0.009184965488549619,0.003337511,0.016569305999999995,393.0,0.00896545281233244,0.0038902262,0.015638710999999996,373.0,0.00779719,ds6.bench.estimation
15,00000000000000000000000000000000000000000000011000|00111111111111111111111111111111111111111111100110|00000000000000000000000000000000000000000000000110,0.002528729776948161,0.000209437915,0.007122593000000001,4514.0,0.002495080893333625,0.00019675151750000002,0.007167382074999997,4562.0,0.00123517,ds6.bench.estimation
16,00000000000000000000000000000000000000000000011110|00000000000000001111111111111111111111111111100000|00000000000000000000000000000000000000011111100000,0.0129261654,0.0066672153,0.017567199,5.0,0.010249927153846154,0.0032694587,0.017415229,13.0,0.00959921,ds6.bench.estimation
